cell,arm,dock,period,phase,nav,outcome,n_meas,meas_err_rms_cm,track_err_rms_cm,vel_ratio,vel_corr,veh_over_dock,gap_frac,max_est_err_cm,n_gaps_gt1s
clamped_sway_sway_p20_ph4.189,sway,sway,20.0,4.189,,DOCKED,274,0.27,0.3,1.17,0.88,1.09,0.0,2.1,0
clamped_sway_sway_p6_ph0.0,sway,sway,6.0,0.0,,TIMEOUT,411,0.8,1.01,1.02,0.93,1.71,0.0,6.3,0
clamped_sway_sway_p6_ph2.094,sway,sway,6.0,2.094,,TIMEOUT,375,0.2,0.8,0.99,0.92,1.73,0.01,3.8,0
clamped_sway_sway_p6_ph4.189,sway,sway,6.0,4.189,,TIMEOUT,484,0.18,1.03,1.02,0.92,1.79,0.03,14.9,1
clamped_sway_sway_p8_ph0.0,sway,sway,8.0,0.0,,TIMEOUT,1223,0.54,5.96,1.03,0.93,1.81,0.3,112.2,5
clamped_sway_sway_p8_ph2.094,sway,sway,8.0,2.094,,TIMEOUT,716,0.53,2.98,1.03,0.95,1.7,0.07,53.0,1
clamped_sway_sway_p8_ph4.189,sway,sway,8.0,4.189,,DOCKED,491,0.22,1.58,1.03,0.95,1.55,0.05,22.0,1
overnight_static_sway_p10_ph0.0,static,sway,10.0,0.0,,DOCKED,226,3.05,5.11,0.0,nan,0.78,0.13,14.8,1
overnight_static_sway_p10_ph2.094,static,sway,10.0,2.094,,DOCKED,197,0.2,3.93,0.0,nan,0.89,0.23,17.3,1
overnight_static_sway_p10_ph4.189,static,sway,10.0,4.189,,DOCKED,483,0.29,5.13,0.0,nan,0.87,0.15,18.1,2
overnight_static_sway_p12_ph0.0,static,sway,12.0,0.0,,DOCKED,209,0.17,3.21,0.0,nan,0.93,0.04,12.0,1
overnight_static_sway_p12_ph2.094,static,sway,12.0,2.094,,DOCKED,233,0.31,2.54,0.0,nan,0.83,0.0,6.5,0
overnight_static_sway_p12_ph4.189,static,sway,12.0,4.189,,DOCKED,229,0.3,2.67,0.0,nan,0.87,0.09,10.5,1
overnight_static_sway_p16_ph0.0,static,sway,16.0,0.0,,DOCKED,187,0.22,1.51,0.0,nan,0.99,0.01,5.8,0
overnight_static_sway_p16_ph2.094,static,sway,16.0,2.094,,DOCKED,248,0.39,1.98,0.0,nan,1.03,0.11,11.7,1
overnight_static_sway_p16_ph4.189,static,sway,16.0,4.189,,DOCKED,222,0.32,1.88,0.0,nan,0.89,0.0,6.5,0
overnight_static_sway_p20_ph0.0,static,sway,20.0,0.0,,DOCKED,220,0.28,1.56,0.0,nan,1.09,0.0,4.0,0
overnight_static_sway_p20_ph2.094,static,sway,20.0,2.094,,DOCKED,185,0.28,1.64,0.0,nan,0.88,0.0,5.5,0
overnight_static_sway_p20_ph4.189,static,sway,20.0,4.189,,DOCKED,287,0.18,2.33,0.0,nan,0.98,0.1,11.5,1
overnight_static_sway_p6_ph0.0,static,sway,6.0,0.0,,DOCKED,240,0.28,6.27,0.0,nan,0.93,0.11,17.8,1
overnight_static_sway_p6_ph2.094,static,sway,6.0,2.094,,DOCKED,223,0.31,6.67,0.0,nan,0.92,0.0,18.7,0
overnight_static_sway_p6_ph4.189,static,sway,6.0,4.189,,DOCKED,245,0.24,5.33,0.0,nan,0.86,0.23,19.3,2
overnight_static_sway_p8_ph0.0,static,sway,8.0,0.0,,DOCKED,245,0.19,3.14,0.0,nan,0.8,0.0,8.8,0
overnight_static_sway_p8_ph2.094,static,sway,8.0,2.094,,DOCKED,202,0.21,3.19,0.0,nan,0.92,0.0,8.9,0
overnight_static_sway_p8_ph4.189,static,sway,8.0,4.189,,DOCKED,217,0.89,3.19,0.0,nan,0.95,0.0,8.4,0
overnight_sway_sway_p10_ph0.0,sway,sway,10.0,0.0,,DOCKED,295,0.19,0.68,0.87,0.93,1.22,0.12,6.1,1
overnight_sway_sway_p10_ph2.094,sway,sway,10.0,2.094,,DOCKED,306,0.24,2.0,0.84,0.9,1.09,0.13,19.6,1
overnight_sway_sway_p10_ph4.189,sway,sway,10.0,4.189,,DOCKED,327,0.2,1.2,0.9,0.94,1.12,0.09,12.4,1
overnight_sway_sway_p12_ph0.0,sway,sway,12.0,0.0,,DOCKED,298,0.27,0.47,0.9,0.93,1.15,0.01,3.8,0
overnight_sway_sway_p12_ph2.094,sway,sway,12.0,2.094,,DOCKED,278,0.26,0.38,0.92,0.94,1.13,0.01,2.5,0
overnight_sway_sway_p12_ph4.189,sway,sway,12.0,4.189,,DOCKED,274,0.19,0.47,0.83,0.91,1.18,0.05,3.0,1
overnight_sway_sway_p16_ph0.0,sway,sway,16.0,0.0,,DOCKED,277,0.18,0.21,0.91,0.95,1.17,0.01,1.5,0
overnight_sway_sway_p16_ph2.094,sway,sway,16.0,2.094,,DOCKED,274,0.31,0.34,0.86,0.91,1.12,0.0,1.7,0
overnight_sway_sway_p16_ph4.189,sway,sway,16.0,4.189,,DOCKED,267,0.27,0.54,0.85,0.87,1.04,0.0,2.8,0
overnight_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,DOCKED,259,0.28,0.36,1.03,0.88,1.0,0.01,2.8,0
overnight_sway_sway_p20_ph2.094,sway,sway,20.0,2.094,,DOCKED,270,0.3,0.41,1.02,0.89,0.95,0.02,3.1,1
overnight_sway_sway_p20_ph4.189,sway,sway,20.0,4.189,,DOCKED,294,0.7,0.39,0.98,0.91,0.96,0.02,2.1,1
overnight_sway_sway_p6_ph0.0,sway,sway,6.0,0.0,,TIMEOUT,357,0.29,0.79,0.83,0.92,1.55,0.01,4.3,0
overnight_sway_sway_p6_ph2.094,sway,sway,6.0,2.094,,DOCKED,344,0.29,0.96,0.8,0.89,1.55,0.01,6.2,0
overnight_sway_sway_p6_ph4.189,sway,sway,6.0,4.189,,TIMEOUT,334,0.36,0.87,0.78,0.91,1.56,0.02,5.5,1
overnight_sway_sway_p8_ph0.0,sway,sway,8.0,0.0,,DOCKED,290,0.25,0.45,0.79,0.93,1.32,0.0,2.3,0
overnight_sway_sway_p8_ph2.094,sway,sway,8.0,2.094,,DOCKED,266,0.3,7.37,0.81,0.84,1.48,0.23,59.6,3
overnight_sway_sway_p8_ph4.189,sway,sway,8.0,4.189,,TIMEOUT,306,0.16,0.72,0.87,0.94,1.44,0.0,4.7,0
sweep_20260723_113134_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,DOCKED,278,0.61,0.48,1.01,0.81,0.93,0.0,3.7,0
