bag,level,seed,arm,vel_err_rms_m_s,vel_err_slow_rms_m_s,vel_err_fast_rms_m_s,vel_amp_ratio,vel_err_corr_bias,bias_rms_m_s,rel_pos_err_rms_cm,accepted_frac,stale_frac
clamped_sway_sway_p8_ph4.189_20260725_064843,high,1,C,0.07790917016825494,0.07485449324791373,0.016285000861097815,1.3429744351429789,0.9224697750589449,0.08478129584232542,3.0781995620448455,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,high,2,B,0.09588554066031606,0.0860465237699305,0.039342017076972706,1.7084714727700412,0.917084458566877,0.09392826544465686,3.75563375732815,0.9816700610997964,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,high,2,C,0.0893458016498186,0.08644644891718654,0.018212677429311798,1.6463208474100826,0.9463644372591679,0.09392826544465686,3.1282358251065867,0.9938900203665988,0.029083858458555503
clamped_sway_sway_p10_ph0.0_20260725_060138,none,0,B,0.011532684798020982,0.008352293445079512,0.006910527939171006,0.9913399028124508,nan,0.0,2.7906412162571845,0.997624703087886,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,none,0,C,0.01433101200693966,0.007573268082134137,0.01174336316372154,1.002773320236744,nan,0.0,3.230337301605487,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,none,1,B,0.011532684798020982,0.008352293445079512,0.006910527939171006,0.9913399028124508,nan,0.0,2.7906412162571845,0.997624703087886,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,none,1,C,0.01433101200693966,0.007573268082134137,0.01174336316372154,1.002773320236744,nan,0.0,3.230337301605487,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,none,2,B,0.011532684798020982,0.008352293445079512,0.006910527939171006,0.9913399028124508,nan,0.0,2.7906412162571845,0.997624703087886,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,none,2,C,0.01433101200693966,0.007573268082134137,0.01174336316372154,1.002773320236744,nan,0.0,3.230337301605487,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,0,B,0.046628443330529235,0.015485165107540687,0.04307729012046321,1.421136277093226,0.2753608885857357,0.003911093583207668,3.6323834748323054,0.9216152019002375,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,0,C,0.015150023883649253,0.009128424949900215,0.011694636554724075,1.0020520278485463,0.5872162606164854,0.003911093583207668,3.2407122554342394,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,1,B,0.04540983815249713,0.017394658809635474,0.04142164367435849,1.3479917314567371,0.35129632933235555,0.009150836239610079,3.9123182580430482,0.9216152019002375,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,1,C,0.01807892340806976,0.012958444939020547,0.012139359881307352,1.0257741041196968,0.5797465534461484,0.009150836239610079,3.220148829711037,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,2,B,0.04938895737876708,0.015848312443185453,0.04609500848399935,1.4973827309382255,0.39001460421843787,0.010156461100872349,3.4786186843035,0.9216152019002375,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,low,2,C,0.01779094007229904,0.012977544250588799,0.01185572155470264,1.0186963443564567,0.6564829113962253,0.010156461100872349,3.2255916008464323,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,0,B,0.04634700750105707,0.018458291741424406,0.04183491013713486,1.4099585638532814,0.579796446114877,0.011733280749623006,3.6319697169376934,0.9263657957244655,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,0,C,0.019066668284200585,0.014294662090364882,0.012002232404713951,1.0231664313833808,0.8225295815205659,0.011733280749623006,3.257723915743766,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,1,B,0.052598528279260356,0.03170061754498137,0.04127538377827119,1.4097980176153393,0.7577278245751325,0.02745250871883027,3.889790566545788,0.9216152019002375,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,1,C,0.0320704708087784,0.029069716475972486,0.012612811083129227,1.124427100316446,0.8705826275109041,0.02745250871883027,3.2038946670205655,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,2,B,0.05562395897001885,0.03107242759075443,0.045572358699358426,1.5541008601872854,0.8172045378835585,0.03046938330261687,3.4568158558353135,0.9216152019002375,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,medium,2,C,0.03401042783232164,0.031615598399203935,0.012159629158080734,1.1234904867099464,0.9249808450101827,0.03046938330261687,3.2069826092044376,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,0,B,0.0535455909837823,0.0364098516558586,0.03782422568160383,1.4721991548598174,0.8637598109706522,0.03911093583207667,3.736776211076436,0.9287410926365796,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,0,C,0.04135638536858269,0.036924220601082705,0.015047811313435421,1.27196356801548,0.9242162009191109,0.03911093583207667,3.3287838465244644,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,1,B,0.09120627345280696,0.08115358610617601,0.04006738335354844,1.7113174753575402,0.9072015808957227,0.0915083623961011,3.4518972435253663,0.9287410926365796,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,1,C,0.08439579833594901,0.08220480282454509,0.015348926350229334,1.5686098246622988,0.9222408988280288,0.0915083623961011,3.189299972276411,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,2,B,0.09284116571153392,0.08315094821694971,0.03910821206669687,1.8708412747632313,0.9372609465381991,0.10156461100872312,3.5416245564661226,0.9287410926365796,0.011235955056179775
clamped_sway_sway_p10_ph0.0_20260725_060138,high,2,C,0.10011818553509155,0.09849546587940049,0.014697227354467818,1.9004421543158962,0.975799163165048,0.10156461100872312,3.190295364428232,0.9928741092636579,0.011235955056179775
clamped_sway_sway_p12_ph0.0_20260725_060001,none,0,B,0.012782219642564274,0.006371255024344133,0.01051270239616301,1.0004383395094936,nan,0.0,2.5718174062392425,0.992,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,none,0,C,0.01578315756983716,0.006027662457552524,0.014431702248131582,1.0551020072347808,nan,0.0,4.73403640826364,0.9706666666666667,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,none,1,B,0.012782219642564274,0.006371255024344133,0.01051270239616301,1.0004383395094936,nan,0.0,2.5718174062392425,0.992,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,none,1,C,0.01578315756983716,0.006027662457552524,0.014431702248131582,1.0551020072347808,nan,0.0,4.73403640826364,0.9706666666666667,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,none,2,B,0.012782219642564274,0.006371255024344133,0.01051270239616301,1.0004383395094936,nan,0.0,2.5718174062392425,0.992,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,none,2,C,0.01578315756983716,0.006027662457552524,0.014431702248131582,1.0551020072347808,nan,0.0,4.73403640826364,0.9706666666666667,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,low,0,B,0.05136475244426735,0.013799721110616787,0.049233109921502996,1.737830612392702,0.062685888712622,0.0034832560692636683,3.3064984065864174,0.904,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,low,0,C,0.016499344994231575,0.0070468454427360695,0.014688978089366278,1.0670251551546537,0.5671701709208534,0.0034832560692636683,4.7738543668886555,0.9706666666666667,0.006541291905151268
clamped_sway_sway_p12_ph0.0_20260725_060001,low,1,B,0.05418554451670762,0.02196351210874521,0.04855489131671991,1.6936678716580853,0.35013006432787247,0.009337161287438592,3.5044266775611366,0.904,0.006541291905151268
